org,a4,/logo.png,"品目","説明文",
made,a1,/org/logo.png,"The Things I (We) Own","私（わたしたち）が所有する 機材・機器、日用品、道具・工具、什器 など",
made,a2,/pehu/org/card.png,"The Things ∧°┐ Own","∧°┐が所有する 出版物・制作物、ウェブドメイン・デジタルツール、メディアファイル など",
made,a3,/pehu/org/3d/logo.png,"The Things I (We) Own, in 3D","ポップアップ「∧°┐が所有するもの in 3D」のロゴ",
