bought,"購入物","自分で買ったもの",
gift,"頂き物","人からもらったもの",
free,"拾得物","拾ったもの・無料で配布されていたもの",
made,"制作物","自分で作ったもの",
collaborations,"共同制作物","誰かと一緒に作ったもの",
other,"その他","上記のもの以外",
sale,"販売物","販売したいもの", 
jmty,"お譲りします","欲しい人連絡ください",
